Area,Item Code,Item,Year,Unit,GDP,Food_insecure,FI_F,FI_M
Norway,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,63548,25.5,,
Oman,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,29502.1,57.9,71.9,66.6
Pakistan,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,5144.3,,,
Palau,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,15471.4,37.8,35.3,36.6
Palestine,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,5402.5,4.4,4.3,4.2
Panama,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,25389.8,,,
Papua New Guinea,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,4063.2,14.5,12.8,12.4
Paraguay,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,12357.9,,,
Peru,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,11289.8,,,
Philippines,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,7958.4,58.5,77.9,73.5
Poland,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,32398.7,,,
Portugal,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,31961.8,20.9,20.8,18.9
Puerto Rico,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,32551.1,4.3,4,4.6
Qatar,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,85290.5,,,
Republic of Korea,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,42335.9,32.6,45,37.7
Republic of Moldova,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,12269.9,,,
Romania,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,28925.8,28.7,,
Russian Federation,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,26578.5,,,
Rwanda,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,2098.6,,,
Saint Kitts and Nevis,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,24308,25.3,35.1,33.2
Saint Lucia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,12048.9,50.5,52.9,44.5
Saint Vincent and the Grenadines,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,12706.7,43.8,55.6,56.9
Samoa,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,6413.3,7.4,8.4,5.3
Sao Tome and Principe,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,4051.6,11.6,12.4,9.7
Saudi Arabia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,44349.5,,,
Senegal,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,3321.7,,,
Serbia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,18255.1,5.3,4.3,6.4
Seychelles,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,26867.6,24.9,28.4,21.1
Sierra Leone,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,1637.3,13.4,14.1,10.9
Singapore,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,94505.6,5.5,19.5,20.1
Slovakia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,30509.8,,,
Slovenia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,37050.5,26.9,,
Solomon Islands,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,2482.4,,,
Somalia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,1181,33.3,,
South Africa,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,12665.8,23.6,,
Spain,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,36210.9,54.6,56.3,53.2
Sri Lanka,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,12540,,,
