Area,Item,Year Code,Year,Unit,Value,Flag
Russian Federation,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,103,E
Rwanda,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,59.3,E
Saint Kitts and Nevis,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,0,O
Saint Lucia,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,0,O
Saint Vincent and the Grenadines,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,89.3,E
Samoa,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,88,E
Sao Tome and Principe,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,53,E
Saudi Arabia,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,87.7,E
Senegal,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,63.7,E
Serbia,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,84.3,E
Seychelles,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,0,O
Sierra Leone,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,49.3,E
Singapore,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,0,O
Slovakia,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,69,E
Slovenia,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,96,E
Solomon Islands,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,52.3,E
Somalia,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,0,O
South Africa,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,79,E
South Sudan,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,0,O
Spain,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,108,E
Sri Lanka,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,67.3,E
Sudan,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,74.7,E
Suriname,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,64.4,E
Sweden,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,106.3,E
Switzerland,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,96.7,E
Syrian Arab Republic,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,0,O
Tajikistan,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,71,E
